algorithm,feature_set,params,n_clusters,inertia,noise_ratio
dbscan,numeric_only,"{""eps"": 0.4, ""min_samples"": 5}",7,,0.48484848484848486
dbscan,numeric_only,"{""eps"": 0.4, ""min_samples"": 8}",3,,0.7222222222222222
dbscan,numeric_only,"{""eps"": 0.4, ""min_samples"": 10}",2,,0.8484848484848485
dbscan,numeric_only,"{""eps"": 0.5, ""min_samples"": 3}",10,,0.16161616161616163
dbscan,numeric_only,"{""eps"": 0.5, ""min_samples"": 4}",9,,0.20202020202020202
dbscan,numeric_only,"{""eps"": 0.5, ""min_samples"": 5}",5,,0.32323232323232326
dbscan,numeric_only,"{""eps"": 0.5, ""min_samples"": 8}",5,,0.46464646464646464
dbscan,numeric_only,"{""eps"": 0.5, ""min_samples"": 10}",4,,0.5858585858585859
dbscan,numeric_only,"{""eps"": 0.6, ""min_samples"": 3}",3,,0.06565656565656566
dbscan,numeric_only,"{""eps"": 0.6, ""min_samples"": 4}",3,,0.08585858585858586
dbscan,numeric_only,"{""eps"": 0.6, ""min_samples"": 5}",2,,0.1414141414141414
dbscan,numeric_only,"{""eps"": 0.6, ""min_samples"": 8}",5,,0.25757575757575757
dbscan,numeric_only,"{""eps"": 0.6, ""min_samples"": 10}",4,,0.3333333333333333
dbscan,numeric_only,"{""eps"": 0.7, ""min_samples"": 3}",2,,0.03535353535353535
dbscan,numeric_only,"{""eps"": 0.7, ""min_samples"": 4}",2,,0.050505050505050504
dbscan,numeric_only,"{""eps"": 0.7, ""min_samples"": 5}",1,,0.0707070707070707
dbscan,numeric_only,"{""eps"": 0.7, ""min_samples"": 8}",1,,0.15656565656565657
dbscan,numeric_only,"{""eps"": 0.7, ""min_samples"": 10}",2,,0.20707070707070707
dbscan,numeric_only,"{""eps"": 0.8, ""min_samples"": 3}",1,,0.020202020202020204
dbscan,numeric_only,"{""eps"": 0.8, ""min_samples"": 4}",1,,0.025252525252525252
dbscan,numeric_only,"{""eps"": 0.8, ""min_samples"": 5}",1,,0.03535353535353535
dbscan,numeric_only,"{""eps"": 0.8, ""min_samples"": 8}",1,,0.0707070707070707
dbscan,numeric_only,"{""eps"": 0.8, ""min_samples"": 10}",1,,0.10606060606060606
dbscan,numeric_only,"{""eps"": 0.9, ""min_samples"": 3}",1,,0.005050505050505051
dbscan,numeric_only,"{""eps"": 0.9, ""min_samples"": 4}",1,,0.005050505050505051
dbscan,numeric_only,"{""eps"": 0.9, ""min_samples"": 5}",1,,0.010101010101010102
dbscan,numeric_only,"{""eps"": 0.9, ""min_samples"": 8}",1,,0.020202020202020204
dbscan,numeric_only,"{""eps"": 0.9, ""min_samples"": 10}",1,,0.045454545454545456
dbscan,numeric_only,"{""eps"": 1.0, ""min_samples"": 3}",1,,0.005050505050505051
dbscan,numeric_only,"{""eps"": 1.0, ""min_samples"": 4}",1,,0.005050505050505051
dbscan,numeric_only,"{""eps"": 1.0, ""min_samples"": 5}",1,,0.005050505050505051
dbscan,numeric_only,"{""eps"": 1.0, ""min_samples"": 8}",1,,0.010101010101010102
dbscan,numeric_only,"{""eps"": 1.0, ""min_samples"": 10}",1,,0.015151515151515152
dbscan,numeric_only,"{""eps"": 1.2, ""min_samples"": 3}",1,,0.0
dbscan,numeric_only,"{""eps"": 1.2, ""min_samples"": 4}",1,,0.0
dbscan,numeric_only,"{""eps"": 1.2, ""min_samples"": 5}",1,,0.0
dbscan,numeric_only,"{""eps"": 1.2, ""min_samples"": 8}",1,,0.0
dbscan,numeric_only,"{""eps"": 1.2, ""min_samples"": 10}",1,,0.005050505050505051
dbscan,numeric_only,"{""eps"": 1.5, ""min_samples"": 3}",1,,0.0
dbscan,numeric_only,"{""eps"": 1.5, ""min_samples"": 4}",1,,0.0
dbscan,numeric_only,"{""eps"": 1.5, ""min_samples"": 5}",1,,0.0
dbscan,numeric_only,"{""eps"": 1.5, ""min_samples"": 8}",1,,0.0
dbscan,numeric_only,"{""eps"": 1.5, ""min_samples"": 10}",1,,0.0
kmeans,numeric_plus_gender,"{""n_clusters"": 2, ""random_state"": 42}",2,592.279790004398,0.0
kmeans,numeric_plus_gender,"{""n_clusters"": 3, ""random_state"": 42}",3,490.89946674443814,0.0
kmeans,numeric_plus_gender,"{""n_clusters"": 4, ""random_state"": 42}",4,437.2264833656407,0.0
kmeans,numeric_plus_gender,"{""n_clusters"": 5, ""random_state"": 42}",5,330.56594981279994,0.0
kmeans,numeric_plus_gender,"{""n_clusters"": 6, ""random_state"": 42}",6,297.9928469928853,0.0
kmeans,numeric_plus_gender,"{""n_clusters"": 7, ""random_state"": 42}",7,255.71519932799512,0.0
kmeans,numeric_plus_gender,"{""n_clusters"": 8, ""random_state"": 42}",8,197.68918913915587,0.0
kmeans,numeric_plus_gender,"{""n_clusters"": 9, ""random_state"": 42}",9,185.44803365809028,0.0
kmeans,numeric_plus_gender,"{""n_clusters"": 10, ""random_state"": 42}",10,175.17327268373683,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""ward"", ""n_clusters"": 2}",2,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""complete"", ""n_clusters"": 2}",2,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""average"", ""n_clusters"": 2}",2,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""single"", ""n_clusters"": 2}",2,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""ward"", ""n_clusters"": 3}",3,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""complete"", ""n_clusters"": 3}",3,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""average"", ""n_clusters"": 3}",3,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""single"", ""n_clusters"": 3}",3,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""ward"", ""n_clusters"": 4}",4,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""complete"", ""n_clusters"": 4}",4,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""average"", ""n_clusters"": 4}",4,,0.0
