candidate_id,algorithm,feature_set,params,n_clusters,silhouette_score,davies_bouldin_score,calinski_harabasz_score,inertia,noise_ratio,acceptable_noise,valid_candidate,preferred_cluster_count,interpretability_rank,feature_set_rank
65,kmeans,rfm_log,"{""n_clusters"": 3, ""random_state"": 42}",3,0.27329674561137085,1.2085824139355985,2421.4307032244233,8195.954799615232,0.0,True,True,True,0,0
66,kmeans,rfm_log,"{""n_clusters"": 4, ""random_state"": 42}",4,0.2743257419070068,1.141624880663218,2239.1691579709195,6804.981282625143,0.0,True,True,True,0,0
67,kmeans,rfm_log,"{""n_clusters"": 5, ""random_state"": 42}",5,0.26138456829131806,1.1761655650646663,2029.968141741371,6037.8692094139205,0.0,True,True,True,0,0
68,kmeans,rfm_log,"{""n_clusters"": 6, ""random_state"": 42}",6,0.2622570579573864,1.1071479569068254,1968.6528736346024,5302.89394377746,0.0,True,True,True,0,0
69,kmeans,rfm_log,"{""n_clusters"": 7, ""random_state"": 42}",7,0.26227798548418496,1.1216322524437004,1874.6160447138548,4824.035046922278,0.0,True,True,False,0,0
70,kmeans,rfm_log,"{""n_clusters"": 8, ""random_state"": 42}",8,0.24600376094398854,1.1493138793918072,1770.0604432919158,4493.561042593748,0.0,True,True,False,0,0
71,kmeans,rfm_log,"{""n_clusters"": 9, ""random_state"": 42}",9,0.2558096015484581,1.111614741070612,1726.1881229187197,4141.321085854151,0.0,True,True,False,0,0
72,kmeans,rfm_log,"{""n_clusters"": 10, ""random_state"": 42}",10,0.24806889723260328,1.0870351732974666,1653.6094994554965,3909.3080775626768,0.0,True,True,False,0,0
73,agglomerative,rfm_log,"{""linkage"": ""ward"", ""n_clusters"": 2}",2,0.3324498623679206,1.1379995149176618,2604.122995218552,,0.0,True,True,False,1,0
74,agglomerative,rfm_log,"{""linkage"": ""ward"", ""n_clusters"": 3}",3,0.24497883638952486,1.2328963313698817,2055.0799478410017,,0.0,True,True,True,1,0
75,agglomerative,rfm_log,"{""linkage"": ""ward"", ""n_clusters"": 4}",4,0.21746488882992493,1.3208355228285487,1839.971411730407,,0.0,True,True,True,1,0
76,agglomerative,rfm_log,"{""linkage"": ""ward"", ""n_clusters"": 5}",5,0.20577143519736332,1.3638271863753149,1642.9350308661421,,0.0,True,True,True,1,0
77,agglomerative,rfm_log,"{""linkage"": ""ward"", ""n_clusters"": 6}",6,0.20280136516338074,1.2984730526532542,1550.2965103400738,,0.0,True,True,True,1,0
78,dbscan,rfm_log,"{""eps"": 0.3, ""min_samples"": 3}",33,-0.10375805465757831,1.0522065614031715,137.80609175122947,,0.08114338404794837,True,True,False,4,0
79,dbscan,rfm_log,"{""eps"": 0.3, ""min_samples"": 4}",25,-0.11225715689518011,1.1866616324265704,174.5369847194442,,0.09843245735361918,True,True,False,4,0
80,dbscan,rfm_log,"{""eps"": 0.3, ""min_samples"": 5}",20,,,,,0.11756569847856155,False,False,False,4,0
81,dbscan,rfm_log,"{""eps"": 0.3, ""min_samples"": 8}",15,,,,,0.18418626094974644,False,False,False,4,0
82,dbscan,rfm_log,"{""eps"": 0.3, ""min_samples"": 10}",8,,,,,0.23098201936376211,False,False,False,4,0
83,dbscan,rfm_log,"{""eps"": 0.4, ""min_samples"": 3}",15,-0.013773796501968007,0.9040204863131573,216.13041561852654,,0.03826648224988474,True,True,False,4,0
84,dbscan,rfm_log,"{""eps"": 0.4, ""min_samples"": 4}",7,0.0884096658682503,1.312339194199831,466.7916391138466,,0.04863992623328723,True,True,False,4,0
85,dbscan,rfm_log,"{""eps"": 0.4, ""min_samples"": 5}",6,0.0209793525321425,1.4172911828049124,552.8765986896152,,0.058091286307053944,True,True,True,4,0
86,dbscan,rfm_log,"{""eps"": 0.4, ""min_samples"": 8}",5,0.10545959150886934,1.6744786731885342,707.4543982112335,,0.08298755186721991,True,True,True,4,0
87,dbscan,rfm_log,"{""eps"": 0.4, ""min_samples"": 10}",3,,,,,0.1037344398340249,False,False,True,4,0
88,dbscan,rfm_log,"{""eps"": 0.5, ""min_samples"": 3}",10,0.036863220656943474,1.0426940764040808,320.79768619285045,,0.019594283079760258,True,True,False,4,0
89,dbscan,rfm_log,"{""eps"": 0.5, ""min_samples"": 4}",3,0.13173016216402947,2.2629164488198463,1316.9004087787491,,0.02881512217611803,True,True,True,4,0
90,dbscan,rfm_log,"{""eps"": 0.5, ""min_samples"": 5}",5,0.08763480443327575,1.5295578284401459,686.1851419726628,,0.03204241585984324,True,True,True,4,0
91,dbscan,rfm_log,"{""eps"": 0.5, ""min_samples"": 8}",3,0.1360272453998075,2.222629995383597,1348.0670946566615,,0.045182111572153065,True,True,True,4,0
92,dbscan,rfm_log,"{""eps"": 0.5, ""min_samples"": 10}",3,0.13936329997993413,2.205952619104066,1358.3978957608338,,0.05186721991701245,True,True,True,4,0
93,dbscan,rfm_log,"{""eps"": 0.6, ""min_samples"": 3}",6,0.17047530263279342,0.7594039449816017,353.3120434323076,,0.012217611802674043,True,True,True,4,0
94,dbscan,rfm_log,"{""eps"": 0.6, ""min_samples"": 4}",4,0.20703156567390496,0.8631054479047477,588.3979699888471,,0.015675426463808206,True,True,True,4,0
95,dbscan,rfm_log,"{""eps"": 0.6, ""min_samples"": 5}",4,0.22070880358409556,0.8592123143789885,579.4281908250884,,0.018441678192715538,True,True,True,4,0
96,dbscan,rfm_log,"{""eps"": 0.6, ""min_samples"": 8}",2,0.2506656558531369,1.3268335492665806,1667.732616936077,,0.026970954356846474,True,True,False,4,0
97,dbscan,rfm_log,"{""eps"": 0.6, ""min_samples"": 10}",2,0.2516515813449916,1.3207611596595932,1676.7748481232736,,0.031581373905025356,True,True,False,4,0
98,dbscan,rfm_log,"{""eps"": 0.7, ""min_samples"": 3}",5,0.19843853722466692,0.8190942701410204,434.14256522923154,,0.0099124020285846,True,True,True,4,0
99,dbscan,rfm_log,"{""eps"": 0.7, ""min_samples"": 4}",3,0.2164635011532487,1.0218234357840685,839.1436239231457,,0.011756569847856155,True,True,True,4,0
100,dbscan,rfm_log,"{""eps"": 0.7, ""min_samples"": 5}",2,0.2473056731068233,1.3401438581792637,1630.525725331296,,0.01313969571230982,True,True,False,4,0
101,dbscan,rfm_log,"{""eps"": 0.7, ""min_samples"": 8}",2,0.2480595657310676,1.3282137111933767,1656.9671941529375,,0.018211157215306594,True,True,False,4,0
102,dbscan,rfm_log,"{""eps"": 0.7, ""min_samples"": 10}",2,0.24842829036075198,1.3282223588796427,1658.709094743789,,0.019594283079760258,True,True,False,4,0
103,dbscan,rfm_log,"{""eps"": 0.8, ""min_samples"": 3}",1,,,,,0.006224066390041493,True,False,False,4,0
104,dbscan,rfm_log,"{""eps"": 0.8, ""min_samples"": 4}",1,,,,,0.00714615029967727,True,False,False,4,0
105,dbscan,rfm_log,"{""eps"": 0.8, ""min_samples"": 5}",2,0.5317997599990353,0.3730070778324555,33.7087143801803,,0.008990318118948824,True,True,False,4,0
106,dbscan,rfm_log,"{""eps"": 0.8, ""min_samples"": 8}",1,,,,,0.014522821576763486,True,False,False,4,0
107,dbscan,rfm_log,"{""eps"": 0.8, ""min_samples"": 10}",1,,,,,0.014983863531581374,True,False,False,4,0
